1,Company,URL,Emp Count,Customer Problem & Solution (≈100 words),Key Technologies,Emp Count Source,Count Source Type
36,Visterra,visterrainc.com,79,"Visterra is a Cambridge-based biotechnology company that solves the problem of poorly targeted biologic drugs by engineering antibodies that hit the most functionally important spots on disease proteins. Its Hierotope® epitope-mapping platform integrates single-cell multiomics, structure-guided design, machine-learning analytics, and de novo protein engineering to discover and optimize mono- and multispecific antibodies with exceptional affinity, selectivity, and manufacturability. Because the molecules are precisely tuned, partners accelerate pipelines, cut costly clinical attrition, and bring transformative treatments to market faster for infectious disease, oncology, and metabolic disorders.",Hierotope® epitope mapping; AI-driven single-cell multiomics; de novo protein design; ViSTAR™ Fc modifications; multispecific antibody engineering,Not Specified,Not Specified
570,Gold Kidney,goldkidney.com,10,"Patients with advanced kidney disease often face fragmented dietary, medication, and lab-tracking regimens, leading to hospitalization. Gold Kidney’s remote monitoring service combines Bluetooth-scale weight, BP cuffs, and lab-data integrations into a single patient portal. AI flags deviations from individualized care plans, triggering nurse outreach. Health systems reduce readmissions by 25%, and patients maintain stability without frequent clinic visits.",IoT vitals integration; EMR-API lab feeds; patient-portal dashboard; AI risk-alert engine,,Multi 2dary
563,SulliVannyc,sullivannyc.com,12,"NYC professionals craving therapeutic haircare face one-size-fits-all salons that ignore scalp health. SulliVannyc’s micro-scalp-analysis, bespoke formula bar, and scalp-wellness protocols meld dermatology, trichology, and styling. A custom CRM tracks product regimens and stylist notes across visits, ensuring consistent, medically informed treatments that reduce breakage and improve retention. Clients solve chronic hair issues while enjoying high-end service in a private, wellness-focused studio.",Dermatology-grade scalp scanners; bespoke CRM; in-studio formulation lab; appointment-optimization AI,,Multi 2dary
37,Adelaide,adelaidemetrics.com,161,"Adelaide solves marketers’ inability to connect viewability metrics with business impact. AU, its omnichannel “attention unit,” is a machine-learning score calibrated to sales, foot traffic, and brand-lift outcomes. The system ingests thousands of contextual, creative, device, and behavioral signals for every impression across display, CTV, audio, social, and digital out-of-home within milliseconds. Advertisers plug AU into DSP bidding, planning dashboards, and post-campaign analytics to allocate spend toward inventory proven to drive incremental results. Publishers package high-AU placements to command stronger pricing, turning fragmented media-quality data into a single, outcome-linked currency that guides smarter investment decisions.",AU attention metric; real-time ML impression scoring; omnichannel measurement dashboard; programmatic custom bidding; outcome-based analytics,Not Specified,Not Specified
38,Blue Yonder,blueyonder.co.uk,8000,"Blue Yonder helps manufacturers, retailers, and logistics providers tame volatile global supply chains that bleed margin and frustrate customers. Its Luminate™ SaaS platform unifies demand sensing, inventory optimization, transportation, warehouse, and workforce planning in a single AI-orchestrated control tower. Predictive and generative models continuously ingest IoT, POS, telematics, weather, and social signals, automatically prescribing actions—rerouting freight, reallocating stock, adjusting prices, or re-sequencing labor—before disruptions hit. Users collaborate in context, track real-time KPIs, and simulate scenarios to balance service, cost, and sustainability targets, driving profitable growth.",Luminate™ SaaS; predictive & generative AI; demand-sensing algorithms; cognitive supply-chain planning; cloud microservices; IoT data ingestion,Not Specified,Not Specified
39,GSTV,gstv.com,139,"GSTV transforms the routine gas-station visit into a measurable, brand-safe advertising moment. A nationwide network of screens plays contextually relevant video while drivers fuel, delivering undivided attention just minutes from purchase. The OCTANE analytics suite stitches geospatial mobility traces, SKU-level transaction data, loyalty feeds, and digital behavior to build precise audiences and tie exposure to verified foot traffic and sales lift. Advertisers plan, activate, and optimize campaigns through self-serve or managed interfaces, while retailers monetize forecourt real estate without capital outlay. The solution converts commuter dwell time into performance marketing that is privacy-compliant and attributable.",OCTANE analytics; geospatial mobility datasets; SKU-level purchase integration; IoT screen network; foot-traffic attribution models,Not Specified,Not Specified
40,CrossCountry Consulting,crosscountry-consulting.com,554,"CrossCountry Consulting removes friction from finance, risk, and transaction activities for high-growth and mid-market companies. Its hybrid teams blend Big-Four technical depth with nimble, cloud-first delivery, deploying ERP, EPM, RPA, AI, and data-fabric accelerators to automate close, forecasting, and compliance processes. Strategic alliances with NetSuite, Workday, Coupa, OneStream, and Sage Intacct provide pre-configured blueprints, while proprietary analytics frameworks uncover insights for investors and executives. The firm also guides IPO readiness, ESG reporting, and full-lifecycle M&A carve-outs, ensuring clients achieve milestones without overstaffing internally, resulting in faster reporting, stronger controls, and confident decision-making.","Cloud ERP (NetSuite, Workday); RPA bots; AI analytics frameworks; data-fabric accelerators; ESG-reporting automation",Not Specified,Not Specified
41,Gresham Technologies,greshamtech.com,179,"Gresham Technologies eliminates operational risk and cost caused by inconsistent or siloed financial data. Its Control Cloud, Connect Cloud, Prime EDM, and Pulse Data modules automate ingestion, normalization, reconciliation, and regulatory reporting across trades, payments, and reference datasets in real time. Built on open APIs and high-performance rules engines, the platform delivers a single source of truth with full auditability and exception management, helping banks, asset managers, and fintechs meet compliance demands while reallocating staff to higher-value analysis and innovation.",Control Cloud rules engine; Connect Cloud messaging; Prime EDM data hub; real-time reconciliation; managed regulatory-reporting services,Not Specified,Not Specified
567,NewPage,newpage.io,20,"Digital teams struggle to prioritize features based on actual user behavior versus guesswork. NewPage embeds lightweight, no-code A/B testing and analytics directly into apps and websites, surfacing heatmaps, session replays, and conversion funnels without SDK bloat. A visual test-builder and AI insights accelerate learning loops—letting PMs and marketers validate 80% of hypotheses before engineering sprints, reducing wasted dev cycles and boosting release confidence.",No-code experiment builder; real-time event analytics; session-replay engine; AI test-recommendations,,Multi 2dary
42,Kennedy Community Health,kennedychc.org,310,"Edward M. Kennedy Community Health Center tackles healthcare inequity for 26 000 predominantly low-income, multilingual residents of Central Massachusetts. As a Federally Qualified Health Center, it unifies primary, dental, behavioral, pharmacy, and specialty care under one patient-centered medical home, coordinated through an advanced electronic health record and telehealth tools. Integrated social-service referrals, translation, LGBTQ+ programs, and substance-use treatment address social drivers of health. The integrated model reduces emergency-room dependence and chronic-disease disparities by delivering accessible, coordinated, culturally competent care where people live, work, and learn—regardless of ability to pay.",Epic EHR; telehealth platform; population-health analytics; NCQA PCMH workflows; integrated behavioral-health tech,Not Specified,Not Specified
